file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,139,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,27
static\style.css,140,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,16
static\style.css,141,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,142,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,143,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,13
static\style.css,144,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,9
static\style.css,145,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,146,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,147,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,148,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,9
static\style.css,149,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,150,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,3
static\style.css,151,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,15
static\style.css,152,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,153,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,154,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,23
static\style.css,155,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,16
static\style.css,156,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,18
static\style.css,157,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,158,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,159,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,5
static\style.css,160,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,13
static\style.css,161,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,30
static\style.css,162,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,163,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,164,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,165,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,23
static\style.css,166,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,167,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,17
static\style.css,168,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,30
static\style.css,169,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,12
static\style.css,170,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,171,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,172,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,22
static\style.css,173,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,26
static\style.css,174,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,34
static\style.css,175,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,176,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,177,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,24
static\style.css,178,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,22
static\style.css,179,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,180,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,181,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,33
static\style.css,182,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,22
static\style.css,183,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,12
static\style.css,184,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,185,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,186,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,39
static\style.css,187,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,22
static\style.css,188,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
